NAME,variable,BlackGeneral
"Gloucester County, Virginia",C15002B_006,0.083623693
"Isle of Wight County, Virginia",C15002B_006,0.132450331
"James City County, Virginia",C15002B_006,0.098497496
"Mathews County, Virginia",C15002B_006,0.083453237
"Southampton County, Virginia",C15002B_006,0.070331447
"York County, Virginia",C15002B_006,0.254880694
"Chesapeake city, Virginia",C15002B_006,0.222363564
"Franklin city, Virginia",C15002B_006,0.055536151
"Hampton city, Virginia",C15002B_006,0.191590842
"Newport News city, Virginia",C15002B_006,0.168488972
"Norfolk city, Virginia",C15002B_006,0.118440391
"Poquoson city, Virginia",C15002B_006,0.916666667
"Portsmouth city, Virginia",C15002B_006,0.135221755
"Suffolk city, Virginia",C15002B_006,0.173709356
"Virginia Beach city, Virginia",C15002B_006,0.207909536
"Williamsburg city, Virginia",C15002B_006,0.135576923
