NAME,variable,Male,variable,Female,variable,Total,BlackGeneral
"Gloucester County, Virginia",C15002B_006,217,C15002B_006,271,C15002B_006,2400,0.20333333333333334
"Isle of Wight County, Virginia",C15002B_006,297,C15002B_006,451,C15002B_006,5834,0.12821391840932464
"James City County, Virginia",C15002B_006,622,C15002B_006,740,C15002B_006,6266,0.2173635493137568
"Mathews County, Virginia",C15002B_006,23,C15002B_006,74,C15002B_006,765,0.12679738562091503
"Southampton County, Virginia",C15002B_006,207,C15002B_006,304,C15002B_006,4864,0.10505756578947369
"York County, Virginia",C15002B_006,699,C15002B_006,839,C15002B_006,5475,0.2809132420091324
"Chesapeake city, Virginia",C15002B_006,3527,C15002B_006,6497,C15002B_006,43048,0.23285634640401412
"Franklin city, Virginia",C15002B_006,161,C15002B_006,138,C15002B_006,2986,0.10013395847287342
"Hampton city, Virginia",C15002B_006,3447,C15002B_006,5293,C15002B_006,42430,0.20598633042658496
"Newport News city, Virginia",C15002B_006,2567,C15002B_006,4815,C15002B_006,43489,0.16974407321391616
"Norfolk city, Virginia",C15002B_006,3219,C15002B_006,5359,C15002B_006,59746,0.14357446523616643
"Poquoson city, Virginia",C15002B_006,12,C15002B_006,12,C15002B_006,83,0.2891566265060241
"Portsmouth city, Virginia",C15002B_006,1841,C15002B_006,3061,C15002B_006,31775,0.15427222659323367
"Suffolk city, Virginia",C15002B_006,1608,C15002B_006,2621,C15002B_006,22597,0.18714873655795017
"Virginia Beach city, Virginia",C15002B_006,4717,C15002B_006,8109,C15002B_006,52136,0.24601043424888752
"Williamsburg city, Virginia",C15002B_006,149,C15002B_006,167,C15002B_006,1290,0.24496124031007752
