Year,NAME,variable,Male,variable2,Female,variable3,Total,BlackGeneral
2015,"Gloucester County, Virginia",C15002B_006,161,C15002B_011,184,C15002B_001,2332,0.14794168096054888
2015,"Isle of Wight County, Virginia",C15002B_006,354,C15002B_011,426,C15002B_001,5893,0.13236042762599695
2015,"James City County, Virginia",C15002B_006,650,C15002B_011,857,C15002B_001,6215,0.2424778761061947
2015,"Mathews County, Virginia",C15002B_006,8,C15002B_011,73,C15002B_001,761,0.10643889618922471
2015,"Southampton County, Virginia",C15002B_006,94,C15002B_011,359,C15002B_001,4855,0.0933058702368692
2015,"York County, Virginia",C15002B_006,697,C15002B_011,1018,C15002B_001,5655,0.3032714412024757
2015,"Chesapeake city, Virginia",C15002B_006,3511,C15002B_011,6913,C15002B_001,43738,0.23832822717088115
2015,"Franklin city, Virginia",C15002B_006,285,C15002B_011,225,C15002B_001,3070,0.16612377850162866
2015,"Hampton city, Virginia",C15002B_006,3413,C15002B_011,5563,C15002B_001,42742,0.210004211314398
2015,"Newport News city, Virginia",C15002B_006,2615,C15002B_011,5013,C15002B_001,44030,0.17324551442198502
2015,"Norfolk city, Virginia",C15002B_006,3295,C15002B_011,5284,C15002B_001,59883,0.1432626955897333
2015,"Poquoson city, Virginia",C15002B_006,9,C15002B_011,9,C15002B_001,91,0.1978021978021978
2015,"Portsmouth city, Virginia",C15002B_006,1874,C15002B_011,3473,C15002B_001,31775,0.16827694728560189
2015,"Suffolk city, Virginia",C15002B_006,1760,C15002B_011,2665,C15002B_001,22759,0.1944285777055231
2015,"Virginia Beach city, Virginia",C15002B_006,5146,C15002B_011,8110,C15002B_001,53161,0.24935573070484002
2015,"Williamsburg city, Virginia",C15002B_006,172,C15002B_011,157,C15002B_001,1282,0.25663026521060844
