Division No.,Division Name,Total Counts,American Indian,Asian,Black,Hispanic,White,Hawaiian,Two or More Races,Not Specified,BlackProportions,AsianProportions,HispanicProportions,WhiteProportions,AmericanIndianProportions,TwoOrMoreRacesProportions,HawaiianProportions
136,Chesapeake ,3301,11,23,604,109,2474,8,72,0,18.29748561,0.696758558,3.302029688,74.94698576,0.333232354,2.181157225,0.002423508
135,Franklin ,95,0,0,53,3,38,0,1,0,55.78947368,0,3.157894737,40,0,1.052631579,0
36,Gloucester ,460,0,7,25,4,419,0,5,0,5.434782609,1.52173913,0.869565217,91.08695652,0,1.086956522,0
112,Hampton ,1556,5,20,606,47,866,4,1,7,38.94601542,1.285347044,3.020565553,55.65552699,0.321336761,0.064267352,0.002570694
46,Isle of Wight ,458,0,0,53,6,398,0,1,0,11.5720524,0,1.310043668,86.89956332,0,0.218340611,0
57,Mathews ,101,0,0,8,0,92,1,0,0,7.920792079,0,0,91.08910891,0,0,0.00990099
117,Newport News ,2140,2,35,732,7,1320,2,42,0,34.20560748,1.635514019,0.327102804,61.68224299,0.093457944,1.962616822,9.35E-04
118,Norfolk ,2540,2,57,1131,47,1261,5,28,9,44.52755906,2.244094488,1.850393701,49.64566929,0.078740157,1.102362205,0.001968504
142,Poquoson ,202,0,3,7,4,187,0,1,0,3.465346535,1.485148515,1.98019802,92.57425743,0,0.495049505,0
121,Portsmouth ,1151,3,13,718,14,398,2,3,0,62.38053866,1.12945265,1.216333623,34.57862728,0.260642919,0.260642919,0.001737619
87,Southampton ,230,0,0,72,4,152,0,1,1,31.30434783,0,1.739130435,66.08695652,0,0.434782609,0
127,Suffolk ,1196,0,7,457,7,722,1,1,1,38.21070234,0.585284281,0.585284281,60.36789298,0,0.08361204,8.36E-04
128,Virginia Beach ,5408,23,142,631,199,4410,2,0,1,11.66789941,2.625739645,3.679733728,81.54585799,0.425295858,0,3.70E-04
131,Williamsburg-James  ,965,5,14,84,11,848,0,3,0,8.704663212,1.450777202,1.139896373,87.87564767,0.518134715,0.310880829,0
98,York ,1041,0,10,95,28,888,0,19,1,9.125840538,0.960614793,2.689721422,85.30259366,0,1.825168108,0
